ScrapeTimestamp,IndexCode,SYMBOL,NAME,LDCP,CURRENT,CHANGE,CHANGE (%),IDX WTG (%),IDX POINT,VOLUME,SHARES (M),MARKET CAP (M)
2026-07-02 06:55:06,NITPGI,HUBC,The Hub Power Company Limited,233.14,234.50,1.36,0.58%,7.44%,21.45,"1,066,169",973,"228,137"
2026-07-02 06:55:06,NITPGI,FFC,Fauji Fertilizer Company Limited,572.17,577.00,4.83,0.84%,16.06%,66.87,"1,024,471",854,"492,680"
2026-07-02 06:55:06,NITPGI,MEBL,Meezan Bank Limited,553.45,558.45,5.00,0.90%,8.19%,36.49,"913,698",450,"251,380"
2026-07-02 06:55:06,NITPGI,SYS,Systems Limited,149.57,149.50,-0.07,-0.05%,4.31%,-1.00,"731,704",884,"132,117"
2026-07-02 06:55:06,NITPGI,BAHL,Bank AL Habib Limited,177.99,175.94,-2.05,-1.15%,4.46%,-25.86,"465,630",778,"136,881"
2026-07-02 06:55:06,NITPGI,MARI,Mari Energies Limited,673.75,673.89,0.14,0.02%,5.27%,0.55,"461,987",240,"161,817"
2026-07-02 06:55:06,NBPPGI,NBP,National Bank of Pakistan,205.01,208.99,3.98,1.94%,5.97%,61.18,"4,742,037",930,"194,439"
2026-07-02 06:55:06,NBPPGI,HBL,Habib Bank Limited,307.45,307.50,0.05,0.02%,5.02%,0.44,"2,666,926",532,"163,728"
2026-07-02 06:55:06,NBPPGI,UBL,United Bank Limited,479.73,490.00,10.27,2.14%,9.44%,106.47,"2,445,205",627,"307,444"
2026-07-02 06:55:06,NBPPGI,ENGROH,Engro Holdings Limited,294.09,292.86,-1.23,-0.42%,7.12%,-16.10,"2,166,983",792,"232,020"
2026-07-02 06:55:06,NBPPGI,LUCK,Lucky Cement Limited,472.38,483.07,10.69,2.26%,6.85%,81.58,"1,860,781",462,"223,106"
2026-07-02 06:55:06,NBPPGI,OGDC,Oil & Gas Development Company Limited,334.91,337.70,2.79,0.83%,9.92%,44.11,"1,834,931",957,"323,144"
2026-07-02 06:55:06,NBPPGI,MCB,MCB Bank Limited,426.84,429.46,2.62,0.61%,3.77%,12.37,"1,754,307",286,"122,678"
2026-07-02 06:55:06,NBPPGI,PPL,Pakistan Petroleum Limited,243.74,245.51,1.77,0.73%,8.63%,33.50,"1,526,719","1,145","281,193"
2026-07-02 06:55:06,NBPPGI,HUBC,The Hub Power Company Limited,233.14,234.50,1.36,0.58%,9.23%,28.83,"1,066,169","1,283","300,816"
2026-07-02 06:55:06,NBPPGI,FFC,Fauji Fertilizer Company Limited,572.17,577.00,4.83,0.84%,10.09%,45.48,"1,024,471",570,"328,807"
2026-07-02 06:55:06,NBPPGI,MEBL,Meezan Bank Limited,553.45,558.45,5.00,0.90%,6.91%,33.28,"913,698",403,"224,988"
2026-07-02 06:55:06,NBPPGI,EFERT,Engro Fertilizers Limited,199.87,199.90,0.03,0.02%,3.21%,0.26,"854,370",523,"104,506"
2026-07-02 06:55:06,NBPPGI,SYS,Systems Limited,149.57,149.50,-0.07,-0.05%,3.81%,-0.96,"731,704",830,"124,040"
2026-07-02 06:55:06,NBPPGI,BAHL,Bank AL Habib Limited,177.99,175.94,-2.05,-1.15%,2.78%,-17.43,"465,630",515,"90,558"
2026-07-02 06:55:06,NBPPGI,MARI,Mari Energies Limited,673.75,673.89,0.14,0.02%,7.27%,0.81,"461,987",351,"236,813"
2026-07-02 06:55:06,MZNPI,MLCF,Maple Leaf Cement Factory Limited,107.43,109.02,1.59,1.48%,4.07%,19.55,"12,958,449",823,"89,716"
2026-07-02 06:55:06,MZNPI,DGKC,D.G. Khan Cement Company Limited,227.14,229.32,2.18,0.96%,3.96%,12.39,"4,454,040",380,"87,247"
2026-07-02 06:55:06,MZNPI,ENGROH,Engro Holdings Limited,294.09,292.86,-1.23,-0.42%,13.37%,-18.49,"2,166,983","1,006","294,606"
2026-07-02 06:55:06,MZNPI,LUCK,Lucky Cement Limited,472.38,483.07,10.69,2.26%,10.06%,73.31,"1,860,781",459,"221,692"
2026-07-02 06:55:06,MZNPI,OGDC,Oil & Gas Development Company Limited,334.91,337.70,2.79,0.83%,9.52%,25.91,"1,834,931",622,"209,890"
